LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-28-07-001-079-12-006,Zofío,8,
0-EU-ES-28-07-001-079-01-002,Lavapiés-Embajadores,8,
0-EU-ES-28-07-001-079-21-001,Alameda de Osuna,8,
0-EU-ES-28-07-001-079-12-007,Pradolongo,8,
0-EU-ES-28-07-001-079-06-004,Ventilla-Almenara,8,
0-EU-ES-28-07-001-079-12-003,San Fermín,8,
0-EU-ES-28-07-001-079-01-005,Malasaña-Universidad,8,
0-EU-ES-28-07-001-079-12-005,Moscardó,8,
0-EU-ES-28-07-001-079-07-003,Trafalgar,8,
0-EU-ES-28-07-001-079-07-002,Arapiles,8,
0-EU-ES-28-07-001-079-19-003,Valdebernardo - Valderribas,8,
0-EU-ES-28-07-001-079-20-001,Simancas,8,
0-EU-ES-28-07-001-079-20-002,Hellín,8,
0-EU-ES-28-07-001-079-20-006,Rejas,8,
0-EU-ES-28-07-001-079-20-003,Amposta,8,
0-EU-ES-28-07-001-079-20-008,Salvador,8,
0-EU-ES-28-07-001-079-08-010,Arroyo del Fresno,8,
0-EU-ES-28-07-001-079-13-001,Entrevías,8,
0-EU-ES-28-07-001-079-11-005,Puerta Bonita,8,
0-EU-ES-28-07-001-079-16-003,Canillas,8,
0-EU-ES-28-07-001-079-11-008,Pau de Carabanchel,8,
0-EU-ES-28-07-001-079-16-006,Valdebebas - Valdefuentes,8,
0-EU-ES-28-07-001-079-16-008,Sanchinarro,8,
0-EU-ES-28-07-001-079-21-002,Aeropuerto,8,
0-EU-ES-28-07-001-079-01-006,Sol,8,
0-EU-ES-28-07-001-079-08-007,Mirasierra,8,
0-EU-ES-28-07-001-079-06-005,Valdeacederas,8,
0-EU-ES-28-07-001-079-08-002,Fuentelarreina,8,
0-EU-ES-28-07-001-079-08-003,Peñagrande,8,
0-EU-ES-28-07-001-079-10-001,Los Cármenes,8,
0-EU-ES-28-07-001-079-09-001,Casa de Campo,8,
0-EU-ES-28-07-001-079-09-007,Aravaca,8,
